question_name,url_id
"선배님들 새내긴데 딴 거 다 a+ a0 나왔는데 elp만 c0 나왔는데 재수강 해야 될까요 ㅠㅠㅠ
영어 진짜 너무 못해서 중간고사랑 모토 망했었거든요..

에타 보니까 어차피 졸업요건 중에 토익 있으니까 준비하면서 그때 재수강하라고 하던데 그러는 게 좋나요?

사실 영어 너무 싫기도 하고 재수강 해도 높은 점수 받을 자신도 없는데 c0는 진짜 아닌 거 같아서요..ㅠ",/197748920
확인하는 사이트 링크좀 알려주라,/196354739
자동 고전인증되는겨??,/196188423
고전강독 1학점짜리도 중선(교선1)에 포함되는건 아는데 졸업요건중 중선 15학점에도 포함되는건가요??,/196064534
"그냥 졸업요건만 채우면 자동으로 졸업되는건가요,,?? 그 졸업예상자라고 명단 공지는 언제쯤 올라오나요..?",/195353518
1학년때 신청해서 봉사시간 다 채워서 P받았는데 그러면 이제 졸업요건 되는건가요?,/194290468
이렇게 쓸 데 없어 보이는 졸업요건(세계사 고전독서등)이 많나요,/194100799
알려조,/194007379
졸업요건에서 교필 2학점 부족한거 꼭 채워야 졸업가능한 걸까요?,/193689823
딱히 뭐 서류제출없어도 10권 다 채우기만 하면 자동으로 졸업요건 충족이 되는건가요?,/192458623
"전공은 컴공이고 올해 8월 졸업예정입니다.

작년 9월 (4-1학기)에 인턴합격 후 정직원 제의받아 지금까지 일하고있는데요

연봉은 약 3100 정도에 웹 FE/BE 개발을 위주로 하고있습니다.

대기업이나 못해도 최소 중견정도로 이직을 꿈꾸고있지만

일하면서 준비하기에는 졸업요건인 토익도 아직 따지 못했고

예전에 과제나 팀플하면서 만든 코드를 포트폴리오로 제출해볼까 하고 봣으나 그때 당시 A학점받은 과제도
현직자 시점으로 보니 너무 조잡하고 쓸모없어보여서 포폴로 쓰기도 뭐하더라고요..

정직원제의를 받았을때 정직원할지말지를 약 3개월간 고민했으나 코로나시국이라는 특수성도있고

거절하고 공부하자니 집에서 늘어질것만 같아서 일은 하고있습니다만 개발자로서 다시 이직을 하기위해선 어느정도 스펙이 필요할것 같은데

토익 / 코딩테스트 / 포트폴리오 어느것 하나 준비되지 않은 운좋게 중소기업 취업한 한 학생입니다.

저 스스로도 말이 정리가 되지않아 주저리주저리 한것 같은데 뭘 해야할까요...

이직을 하려는 이유는 현 회사는 워라벨은 정말 맘에 들지만 복지나 연봉이 너무 짠것같아서 더 좋은 환경으로 이직을 준비합니다. 사실 아직 경력이 1년도 되지않아 중고신입도 노리는 중이구요.

개인적으로 또 궁금한것이 종이분들의 희망 초봉은 어느정도인가요?",/192152682
졸업요건에서 빼던가!!!!,/192142329
담당교수랑 상담하는 것도 있나요..?,/191968958
